date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,weekofyear,season,severity_score,high_severity,date.1,time,factory,region,shift,workers,exp,training,temp,pressure,humidity,vibration,speed,age,service_days,gas,sparks,alarm,risk,accident,clean_description,root_causes,description_length,word_count,forecast_risk_probability,risk_category,recommendation
2016-01-28,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",2016,1,28,Thursday,4,Summer,1,0,2021-06-16,21:45:00,Factory_A,Rural,Day,23.0,Junior,Yes,29.27,26.61,75.65,1.37,1270.52,16,348,4.02,4,On,71.1,0,while installing a segment of the polyurethane pulley protective lyner     x x cm weighing     kg   on the head pulley of the ore winch  when the pulley is rotated to compress the lyner inside the channel  it falls from its housing      m rubbing the right side of the worker s hip  generating the injury described,"human_error, fall_slip",314,54,0.9066666666666666,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-01-30,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",2016,1,30,Saturday,4,Summer,1,0,2022-03-05,00:30:00,Factory_C,Urban,Night,24.0,Junior,Yes,27.89,25.45,57.69,3.27,3105.31,17,203,8.87,1,Off,64.45,0,while preparing the rice for the lunch of the day  when moving the pot           kg of weight including the contents   to evacuate the residual water of the cooking of the rice  when positioning the pot on a jaba it tilts backwards spilling some     ml of hot water on the cook s leg  the cook immediately after the event applies first aid  pouring cold water on the area of   the injury and go to the medical post for evaluation,other,429,78,0.93,High Risk,Perform comprehensive industrial safety inspection.
2016-02-01,Country_02,Local_05,Metals,I,I,Male,Employee,Liquid Metal,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,2016,2,1,Monday,5,Summer,1,0,2022-12-02,05:15:00,Factory_B,Industrial_Zone,Day,41.0,Senior,No,16.56,20.4,77.98,3.02,3460.92,7,92,6.55,2,On,25.94,0,the collaborator reports that he was working in the ustulaci n and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel,other,256,45,0.9,High Risk,Perform comprehensive industrial safety inspection.
2016-02-04,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",2016,2,4,Thursday,5,Summer,1,0,2021-01-09,00:15:00,Factory_D,Urban,Night,27.0,Senior,Yes,30.44,24.26,55.15,2.22,1640.03,18,194,7.05,4,Off,61.63,0,due to the accumulation of waelz on the conveyor and trailer of the filter   fi      the employee performed the cleaning of the shutter using the air lance  when he was surprised by the fall of the product that was above the door  passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder,fall_slip,333,61,0.9433333333333334,High Risk,"Improve floor traction, housekeeping, and PPE compliance."
2016-02-04,Country_02,Local_05,Metals,I,IV,Male,Employee,Liquid Metal,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",2016,2,4,Thursday,5,Summer,1,0,2022-09-15,05:45:00,Factory_B,Urban,Night,35.0,Junior,Yes,16.16,15.43,73.29,0.43,3255.32,17,198,5.7,4,On,35.0,0,the employee was working in the when a thermal shock caused a splash of zinc in his direction  the employee  despite using all the indicated ppe  was hit by small spatters that passed between the facila and the hood  small burn in the face region,electrical,246,45,0.89,High Risk,Perform electrical safety audits and strengthen cable insulation inspections.
2016-02-07,Country_01,Local_06,Metals,I,II,Female,Third Party,Others,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",2016,2,7,Sunday,5,Summer,1,0,2022-11-08,07:15:00,Factory_D,Rural,Day,44.0,Junior,No,14.36,13.53,78.41,3.62,3950.06,15,82,0.76,3,Off,23.79,0,due to the overheating of   bars in row   of cell   a spark is produced  which is projected and manages to reach the chief of guard who was in the corridor  producing a first degree burn in the neck,other,198,38,0.9166666666666666,High Risk,Perform comprehensive industrial safety inspection.
2016-02-08,Country_01,Local_06,Metals,I,II,Male,Employee,Others,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",2016,2,8,Monday,6,Summer,1,0,2022-12-10,00:15:00,Factory_D,Industrial_Zone,Night,29.0,Junior,Yes,21.14,23.45,66.2,0.72,1048.47,5,170,7.19,2,Off,38.4,0,an auxiliary wheel of the cathode crane g     was changed in area     when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track  a detachment of a bearing piece occurred  impacting it in the thigh of the right leg producing a cut  the ambulance is called and you are transferred to the clinic,other,330,62,0.9233333333333333,High Risk,Perform comprehensive industrial safety inspection.
2016-02-21,Country_01,Local_06,Metals,I,III,Male,Employee,Others,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",2016,2,21,Sunday,7,Summer,1,0,2021-02-25,07:45:00,Factory_B,Rural,Day,19.0,Junior,Yes,33.7,22.15,37.14,2.05,2368.38,15,150,2.64,3,On,57.56,0,the worker manuel was making the disconnection of the power cables of the gate that is at the intersection of manco streets with cajamarquilla in order to remove it  in circumstances that mr  jos  worker of the company its  was removing the rope tied in the body of the gate  this yields and falls pulling the warning post which hits the helmet of mr  who he was standing at his side,"human_error, fall_slip",383,71,0.92,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-25,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",2016,2,25,Thursday,8,Summer,1,0,2023-05-16,16:00:00,Factory_D,Urban,Day,42.0,Junior,Yes,33.59,25.79,49.19,0.29,1635.87,2,169,1.98,2,Off,52.03,0,at        the operator samuel was about to open the container for its subsequent loading with silver concentrate  and opened the first gate  afterwards  he tries to open the second door and it is when product of the opening of the latter  the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator,human_error,377,67,0.87,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-09,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",2016,2,9,Tuesday,6,Summer,1,0,2022-07-14,10:45:00,Factory_C,Industrial_Zone,Night,15.0,Senior,No,22.4,23.07,59.4,3.1,3377.71,19,225,4.53,4,On,47.1,0,in the raise chamber  when the operator and assistant removed the drilling bar from the   r drilling machine   weight approx      kg   holding it at the top with a   tm stroke and assisted with jibs to move horizontally  the operator s jib on the bottom slides by moving the top of the drill bar causing the assistant s bar to enforce his assistant s hand between the bar and the piston of the equipment,"equipment_failure, human_error",403,73,0.9166666666666666,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-02-14,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",2016,2,14,Sunday,6,Summer,1,0,2023-01-20,07:00:00,Factory_C,Industrial_Zone,Night,20.0,Senior,Yes,26.88,23.48,65.37,4.24,2778.4,7,234,2.01,2,Off,52.39,0,an operator of the g      deslaminadora in section    was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table  for this requires the support of mr  mollares and this helps to hold the sheet to place it in the entry chute to the slide  at the moment of releasing the blade  it tilted and brushed mr  mollares s left leg  the collaborator went to the nearby eyewash for cleaning and immediately to the medical center,human_error,447,82,0.8466666666666667,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-15,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",2016,2,15,Monday,7,Summer,1,0,2023-08-27,22:00:00,Factory_D,Rural,Night,5.0,Junior,Yes,26.45,24.42,63.4,3.36,3233.09,11,251,7.18,1,On,58.17,0,the operator was willing to manually displace the zinc sheet adhered to the aluminum cathode  at the moment when the blade was detached  the blade was released from the cathode  bending and grazing the collaborator s right hand  producing   small cuts at the knuckles of the fingers  the worker made use of his gloves  leather  the worker is transferred to the medical unit for first aid,human_error,387,66,0.8266666666666667,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-13,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",2016,2,13,Saturday,6,Summer,1,0,2021-09-25,06:30:00,Factory_C,Rural,Day,21.0,Junior,Yes,15.23,16.54,76.69,2.53,1003.19,9,240,0.07,3,Off,36.18,0,at the end of lunch in an enabled place on the side of the winche control room  he gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard  when the guard is finished  he goes to safety and communicates the fact  for which reason it is derived natclar  for your attention,fall_slip,368,72,0.7833333333333333,High Risk,"Improve floor traction, housekeeping, and PPE compliance."
2016-02-15,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",2016,2,15,Monday,7,Summer,1,0,2023-05-30,23:30:00,Factory_C,Urban,Night,6.0,Senior,No,33.3,22.96,70.58,2.31,3506.64,13,311,7.83,0,On,71.61,0,at the end of the rock break at the intersection of the ramp       and the opening of the access to the ventilation chimney  the master loader identifies rocks on the mesh proceeding to unload them  at the end he decides to verify if there are still remains by positioning himself under the line of fire  at which time a fragment of rock falls    x x cm        gr   between the cocada mesh impacting between the lens and the helmet causing the injury,"fire_explosion, fall_slip",450,81,0.8966666666666666,High Risk,"Improve gas leakage monitoring, fire suppression systems, and emergency shutdown protocols."
2016-02-16,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",2016,2,16,Tuesday,7,Summer,1,0,2021-07-11,23:45:00,Factory_D,Industrial_Zone,Day,23.0,Junior,No,27.83,24.26,37.25,3.66,3544.48,16,205,5.36,2,Off,63.87,0,the worker carried out his work at level       stop      and placed metal mesh on the basket  soil half  of the scissor the mesh falls and hits the back of his right hand,"human_error, fall_slip",170,32,0.9133333333333333,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-17,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",2016,2,17,Wednesday,7,Summer,1,0,2022-09-09,03:30:00,Factory_C,Industrial_Zone,Night,14.0,Senior,Yes,15.61,15.9,64.28,1.67,2408.98,17,194,4.68,0,Off,33.52,0,when the plant operator was semi kneeling when lifting the lid or gate     kg  of the distributor box of the secondary mill no    and no     his right knee slips due to the presence of debris spilled on the platform or floor  grating    which gave him an extra effort in his left leg  generating a muscle contracture,"human_error, fall_slip",316,56,0.9333333333333333,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-19,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",2016,2,19,Friday,7,Summer,1,0,2022-11-16,15:15:00,Factory_C,Industrial_Zone,Day,8.0,Senior,Yes,11.68,16.61,73.58,3.96,3608.28,16,165,5.02,4,On,32.37,0,at level         access   a    at times when the engineer trainee planamieto entered to verify the amount of split set placed by the scissor     in the support   holding his notebook and pen in his left hand   while inspecting the roof of the work  he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury  the worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes,human_error,473,87,0.8966666666666666,High Risk,Conduct advanced worker safety training and strengthen operational supervision.
2016-02-15,Country_02,Local_05,Metals,I,II,Male,Employee,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,2016,2,15,Monday,7,Summer,1,0,2022-12-04,10:45:00,Factory_D,Industrial_Zone,Night,30.0,Senior,Yes,20.28,17.69,53.7,4.02,2407.96,9,323,2.97,3,On,53.87,0,the employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma,other,106,18,0.9533333333333334,High Risk,Perform comprehensive industrial safety inspection.
2016-02-18,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",2016,2,18,Thursday,7,Summer,1,0,2022-08-16,13:30:00,Factory_A,Urban,Night,34.0,Senior,No,20.94,19.14,72.14,2.07,2255.68,5,251,1.01,1,Off,49.53,0,when replacing the telescopic expansion joint of the hdpe pipe of the storm drainage pumping system  it reports that the piece involuntarily moved when it was positioned in the holder  pressing its finger against the holder  causing a wound   right chemo,equipment_failure,254,41,0.8933333333333333,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-02-22,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",2016,2,22,Monday,8,Summer,1,0,2022-11-27,20:45:00,Factory_D,Industrial_Zone,Day,47.0,Junior,No,17.83,18.93,65.61,0.58,3408.0,1,214,0.36,2,On,35.84,0,during the withdrawal the kelly bar  conductive bar of    kg      m of length and    cm of diameter  of the equipment of perforation on the part of two workers  one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar  when positioning the bar on the platform they lose control of the bar moving   cm with the  nd finger of the right hand against the pulleys of the frame  at the time of the accident  the worker was wearing safety gloves and the drill rig was blocked,"equipment_failure, human_error",534,102,0.92,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-02-24,Country_02,Local_07,Mining,I,V,Male,Employee,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,Summer,1,0,2021-11-25,15:45:00,Factory_A,Urban,Night,23.0,Senior,Yes,14.12,15.27,37.32,2.14,2356.57,7,118,9.93,0,On,21.93,0,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it  due to the movement of the coil the bees were excited  realizing the fact the operator turned off the equipment and left the area  people passing by were stung,"equipment_failure, human_error",333,61,0.9266666666666666,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-02-24,Country_02,Local_07,Mining,I,V,Female,Third Party,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,2016,2,24,Wednesday,8,Summer,1,0,2021-04-29,16:30:00,Factory_C,Industrial_Zone,Night,,Senior,Yes,32.5,25.81,49.61,3.57,2083.88,4,195,8.54,2,On,50.28,0,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it  due to the movement of the coil the bees were excited  realizing the fact the operator turned off the equipment and left the area  people passing by were stung,"equipment_failure, human_error",333,61,0.9233333333333333,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
2016-02-24,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",2016,2,24,Wednesday,8,Summer,1,0,2022-12-21,17:00:00,Factory_C,Urban,Night,42.0,Junior,Yes,21.99,19.44,73.12,0.85,2672.75,16,310,1.82,3,Off,58.26,0,during the pre use inspection of the jumbo     check list  equipment  the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water  without any label or labeling  take the bottle and take a small sip of the liquid  expelling it immediately when noticing that it was not water  immediately proceeds to wash with enough water and is transferred to the medical center for your attention  the liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity,"equipment_failure, human_error",545,91,0.89,High Risk,Increase preventive maintenance frequency and install predictive sensor monitoring systems.
